"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","Added By","Added At"
"spotify:track:19YmvsVCetCBeVj6O2mljR","Still Breathing","spotify:artist:7oPftvlwr6VrsViSDV7fJY","Green Day","spotify:album:5a3LqvNt2nv1B4aRKXmgOV","Revolution Radio","spotify:artist:7oPftvlwr6VrsViSDV7fJY","Green Day","2016-10-07","https://i.scdn.co/image/ab67616d0000b273af71e889d130283bcd08b8a7","1","7","224760","https://p.scdn.co/mp3-preview/e4b4c587bf5922928e02db19b03fb1de9adb755b?cid=9950ac751e34487dbbe027c4fd7f8e99","false","61","spotify:user:1217963894","2022-03-28T19:57:15Z"
"spotify:track:5QTxFnGygVM4jFQiBovmRo","(Don't Fear) The Reaper","spotify:artist:00tVTdpEhQQw1bqdu8RCx2","Blue Öyster Cult","spotify:album:6C9WzlQANeoD0GW5B41YJt","Agents Of Fortune","spotify:artist:00tVTdpEhQQw1bqdu8RCx2","Blue Öyster Cult","1976","https://i.scdn.co/image/ab67616d0000b2733ac318439ae56ce048d7bf5d","1","3","308120","https://p.scdn.co/mp3-preview/7506c69eeadd2ba6fcda4df93765cab7e42d6c4f?cid=9950ac751e34487dbbe027c4fd7f8e99","false","75","spotify:user:1217963894","2022-03-28T20:01:42Z"
"spotify:track:0qgrrDnUUhyxpxbBznUnzg","18 and Life","spotify:artist:4opTS86dN9uO313J9CE8xg","Skid Row","spotify:album:0kSTuMp9GpX9pJR45Bksgi","Skid Row","spotify:artist:4opTS86dN9uO313J9CE8xg","Skid Row","1989-01-24","https://i.scdn.co/image/ab67616d0000b273ae63b58e90bef8888658ae21","1","5","229960","https://p.scdn.co/mp3-preview/8e828b17b26a267c6bad1ebf812fee592f5c6e20?cid=9950ac751e34487dbbe027c4fd7f8e99","false","69","spotify:user:1217963894","2022-03-28T20:02:30Z"
"spotify:track:4avSaixVwu8uqfSs7zgoj3","Livin' On The Edge","spotify:artist:7Ey4PD4MYsKc5I2dolUwbH","Aerosmith","spotify:album:1tuM8yBePaekEruGsH2J79","Get A Grip","spotify:artist:7Ey4PD4MYsKc5I2dolUwbH","Aerosmith","1993-01-01","https://i.scdn.co/image/ab67616d0000b273587b26d49596162397b29ec8","1","5","380893","https://p.scdn.co/mp3-preview/2885ca50515b224cb561458bf9efd67b3d4e022d?cid=9950ac751e34487dbbe027c4fd7f8e99","false","62","spotify:user:1217963894","2022-03-28T20:02:58Z"
"spotify:track:2oSpQ7QtIKTNFfA08Cy0ku","It's The End Of The World As We Know It (And I Feel Fine)","spotify:artist:4KWTAlx2RvbpseOGMEmROg","R.E.M.","spotify:album:6gMv3MgFlieOM6Uz5GZBzy","Document (R.E.M. No. 5)","spotify:artist:4KWTAlx2RvbpseOGMEmROg","R.E.M.","1987-09-01","https://i.scdn.co/image/ab67616d0000b273a7c7f94cfccd5ab6de233916","1","6","246933","https://p.scdn.co/mp3-preview/5412125c446b925cae9263d838a0d37ce6af42d6?cid=9950ac751e34487dbbe027c4fd7f8e99","false","69","spotify:user:1217963894","2022-03-28T20:03:15Z"
"spotify:track:4JiEyzf0Md7KEFFGWDDdCr","Knockin' On Heaven's Door","spotify:artist:3qm84nBOXUEQ2vnTfUTTFC","Guns N' Roses","spotify:album:00eiw4KOJZ7eC3NBEpmH4C","Use Your Illusion II","spotify:artist:3qm84nBOXUEQ2vnTfUTTFC","Guns N' Roses","1991-09-18","https://i.scdn.co/image/ab67616d0000b27392d21aef6c0d288cc4c05973","1","4","336000","https://p.scdn.co/mp3-preview/7506e439977ca605770150e1b4a2aadd5c886cac?cid=9950ac751e34487dbbe027c4fd7f8e99","false","78","spotify:user:1217963894","2022-03-28T20:04:04Z"
"spotify:track:2x5IXUFOcvvBUtEpnCBNlp","Alive And Kicking","spotify:artist:6hN9F0iuULZYWXppob22Aj","Simple Minds","spotify:album:4YimfceN1R0nOS9CefIFhm","Once Upon A Time (Super Deluxe)","spotify:artist:6hN9F0iuULZYWXppob22Aj","Simple Minds","1985","https://i.scdn.co/image/ab67616d0000b2735695a657aef0e81bde0c6001","2","5","289453","https://p.scdn.co/mp3-preview/c4250797b7447d7f662d48f273a8755a171dff2b?cid=9950ac751e34487dbbe027c4fd7f8e99","false","66","spotify:user:1217963894","2022-03-28T20:05:25Z"
"spotify:track:0KSpHNE0VOgOh9esiCb0ut","Alive","spotify:artist:6KO6G41BBLTDNYOLefWTMU","P.O.D.","spotify:album:2PXGYmRP55VGrhoDzqYwA3","Rock Workout","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Various Artists","2018-03-29","https://i.scdn.co/image/ab67616d0000b273627040745edef0688d3e4457","1","5","203693","https://p.scdn.co/mp3-preview/ffda76752b532eba5eedca11ea00ff23c8445047?cid=9950ac751e34487dbbe027c4fd7f8e99","false","42","spotify:user:1217963894","2022-03-28T20:06:00Z"
"spotify:track:7sO969CnGNCZ7kDravLtPO","Death Row","spotify:artist:4YLtscXsxbVgi031ovDDdh","Chris Stapleton","spotify:album:5L0e8X6Mf9lfjs2miK2WUB","From A Room: Volume 1","spotify:artist:4YLtscXsxbVgi031ovDDdh","Chris Stapleton","2017-05-05","https://i.scdn.co/image/ab67616d0000b2736b3e3357c9192722c1236b49","1","9","243093","https://p.scdn.co/mp3-preview/f65eb1dafb8653a83987264d59e40231db501b4d?cid=9950ac751e34487dbbe027c4fd7f8e99","false","58","spotify:user:1217963894","2022-03-28T20:11:26Z"
"spotify:track:6tsojOQ5wHaIjKqIryLZK6","All My Life","spotify:artist:7jy3rLJdDQY21OgRLCZ9sD","Foo Fighters","spotify:album:1zQ6F8gMagKcPL4SoA80cx","One By One (Expanded Edition)","spotify:artist:7jy3rLJdDQY21OgRLCZ9sD","Foo Fighters","2002-10-22","https://i.scdn.co/image/ab67616d0000b273b00ee453b3496535eaa6e4b3","1","1","263440","https://p.scdn.co/mp3-preview/978a59b199e8147e9c62779aeca49d3e61e80503?cid=9950ac751e34487dbbe027c4fd7f8e99","false","73","spotify:user:1217963894","2022-03-28T20:11:41Z"
